n_windows,window,tau
1,1,-4.6072046466188
2,1,-3.93257801130666
2,2,-4.86739884459951
3,1,-3.33864169568095
3,2,-4.56855583087259
3,3,-4.92912112525999
4,1,-3.10482100859282
4,2,-4.22107394776172
4,3,-4.76350239457701
4,4,-4.96012625387705
5,1,-2.99170874861868
5,2,-3.77390966649576
5,3,-4.68495475168166
5,4,-4.75602194882637
5,5,-5.02330055582845
6,1,-2.93182039706398
6,2,-3.54928721218645
6,3,-4.36958531066811
6,4,-4.72211038981415
6,5,-4.78492183143284
6,6,-5.07708254592093
7,1,-2.89647250212169
7,2,-3.36939893805986
7,3,-4.04273598174902
7,4,-4.69624772963453
7,5,-4.76679798164606
7,6,-4.76224775391687
7,7,-5.12022824329658
8,1,-2.85861447057062
8,2,-3.26702012829743
8,3,-3.78862656624883
8,4,-4.49884680232266
8,5,-4.73192420247609
8,6,-4.79074122173908
8,7,-4.77213559539586
8,8,-5.15953505960065
9,1,-2.83680840345074
9,2,-3.1835139524431
9,3,-3.65082370210624
9,4,-4.20829172278947
9,5,-4.72279541597189
9,6,-4.68933877479043
9,7,-4.79414399668548
9,8,-4.81578542997309
9,9,-5.18984152421309
10,1,-2.82229722343034
10,2,-3.12055874341794
10,3,-3.53221778550237
10,4,-3.90904020001277
10,5,-4.60413208654544
10,6,-4.75375227284461
10,7,-4.7172387600246
10,8,-4.79032906617352
10,9,-4.82303019374407
10,10,-5.23510432304136
20,1,-2.70223924451368
20,2,-2.95310622278382
20,3,-3.05131644405182
20,4,-3.17352930611408
20,5,-3.39789883950026
20,6,-3.63746557400908
20,7,-3.78993672459142
20,8,-4.00690558445082
20,9,-4.59655906613423
20,10,-4.61064272315962
20,11,-4.81966169817333
20,12,-4.69274076500711
20,13,-4.63505503640885
20,14,-4.79477387664372
20,15,-4.86235113957792
20,16,-4.72122042032939
20,17,-4.80005653402117
20,18,-4.84572308169751
20,19,-5.07416897020935
20,20,-5.41454789423871
25,1,-2.71729122899107
25,2,-2.86256058491614
25,3,-2.98664973025002
25,4,-3.13849429383944
25,5,-3.14354129628382
25,6,-3.36232665323835
25,7,-3.55872507086057
25,8,-3.68269719033999
25,9,-3.90206634008654
25,10,-4.01113901608089
25,11,-4.54277805393321
25,12,-4.66178698613919
25,13,-4.63771552175494
25,14,-4.82085719573565
25,15,-4.73312357594252
25,16,-4.6083009427914
25,17,-4.78381301615428
25,18,-4.8814233605828
25,19,-4.80527752994741
25,20,-4.68800070697211
25,21,-4.79863921164649
25,22,-4.80309701510764
25,23,-4.93967776942636
25,24,-5.13194839183733
25,25,-5.50351220125543
50,1,-2.74232398178195
50,2,-2.69356373306886
50,3,-2.75867870340736
50,4,-2.97284284451965
50,5,-2.96088167225619
50,6,-3.01019013108363
50,7,-3.05608202024332
50,8,-3.21686502032219
50,9,-3.06058520579881
50,10,-3.21816429130766
50,11,-3.28478056049587
50,12,-3.43956309294333
50,13,-3.46448084224585
50,14,-3.65375289434484
50,15,-3.72034267108086
50,16,-3.65073220676636
50,17,-3.80852248980317
50,18,-3.98999502148284
50,19,-3.89865766738639
50,20,-4.11807399392414
50,21,-4.50879784012265
50,22,-4.57579977453524
50,23,-4.71546987588368
50,24,-4.60917340273056
50,25,-4.60357466156883
50,26,-4.67042931165078
50,27,-4.92167668767735
50,28,-4.72738635316503
50,29,-4.69922751038573
50,30,-4.76804811203826
50,31,-4.60919385631452
50,32,-4.60739857804044
50,33,-4.7377723609658
50,34,-4.82683480369173
50,35,-4.79047563075872
50,36,-4.96766831967349
50,37,-4.81024167872448
50,38,-4.80196896594741
50,39,-4.58581920213581
50,40,-4.78953053691376
50,41,-4.76552309623835
50,42,-4.82932333804746
50,43,-4.76937016592724
50,44,-4.8487138065351
50,45,-4.89892825020475
50,46,-4.97737760029687
50,47,-5.10973069840154
50,48,-5.15173218355524
50,49,-5.38782332607158
50,50,-5.63262985247353
100,1,-2.81546426308702
100,2,-2.68278084895958
100,3,-2.65408450429008
100,4,-2.73576439013642
100,5,-2.64665855969016
100,6,-2.89943603984716
100,7,-3.04461780930328
100,8,-2.87850076362453
100,9,-2.91946777085665
100,10,-3.0528438470551
100,11,-2.94873028865389
100,12,-3.07531401668239
100,13,-2.96645607347114
100,14,-3.15360782948638
100,15,-3.09392106665259
100,16,-3.2976756064103
100,17,-3.00370441927811
100,18,-3.14989359241256
100,19,-3.17876379696611
100,20,-3.26081515233709
100,21,-3.33284943419994
100,22,-3.24856273461469
100,23,-3.3791092992784
100,24,-3.5234918511136
100,25,-3.5177424382811
100,26,-3.4280445304021
100,27,-3.66155532242778
100,28,-3.59369951455153
100,29,-3.63416787916944
100,30,-3.83834711450021
100,31,-3.58257628768002
100,32,-3.76697814476416
100,33,-3.92239723158543
100,34,-3.71643272922364
100,35,-3.99667047158692
100,36,-3.94181522197138
100,37,-4.01777161699481
100,38,-3.81568430051346
100,39,-4.00789907274873
100,40,-4.21996687347257
100,41,-4.51073046567419
100,42,-4.5213120440296
100,43,-4.49839399781466
100,44,-4.64052505718987
100,45,-4.85329274435728
100,46,-4.59096377145741
100,47,-4.61393136098938
100,48,-4.66147768948893
100,49,-4.55246089296252
100,50,-4.69612472527132
100,51,-4.65801254038216
100,52,-4.68345964832703
100,53,-4.88748672478628
100,54,-4.93886880071182
100,55,-4.88948645364289
100,56,-4.54268972423409
100,57,-4.63931927084863
100,58,-4.77122960846153
100,59,-4.80755569753406
100,60,-4.71176605571659
100,61,-4.47549896333665
100,62,-4.79146554641724
100,63,-4.64025289705222
100,64,-4.51914017679241
100,65,-4.77471722429245
100,66,-4.7338622248434
100,67,-4.85023305671768
100,68,-4.81794049215577
100,69,-4.76113270463189
100,70,-4.82820056216302
100,71,-5.18058957782791
100,72,-4.78624345133757
100,73,-4.84708618821576
100,74,-4.76455935602307
100,75,-4.72500326394836
100,76,-4.89422765433843
100,77,-4.56548848328121
100,78,-4.57089793768371
100,79,-4.80415506887353
100,80,-4.79683338095743
100,81,-4.73910196059238
100,82,-4.80064820621204
100,83,-4.78555550883587
100,84,-4.85743854007449
100,85,-4.79551951132588
100,86,-4.7512730091978
100,87,-4.79558045796322
100,88,-4.89935372514782
100,89,-4.99866164055258
100,90,-4.7927253080636
100,91,-5.23343619637039
100,92,-4.72176270914615
100,93,-5.22091781570804
100,94,-4.99594810305097
100,95,-5.21884618230896
100,96,-5.08492155882574
100,97,-5.38731985033479
100,98,-5.38834069401107
100,99,-5.42058580099887
100,100,-5.83687485694759
